Input,K,GY,Total,K_percent,GY_percent,K_step_size
194,5820,23750,29570,19.68,80.32,30/step
195,5850,23865,29715,19.69,80.31,30/step
196,5880,23980,29860,19.69,80.31,30/step
197,5910,24095,30005,19.70,80.30,30/step
198,5940,24210,30150,19.70,80.30,30/step
199,5970,24325,30295,19.71,80.29,30/step
200,6000,24440,30440,19.71,80.29,30/step
201,6030,24555,30585,19.72,80.28,30/step
202,6060,24670,30730,19.72,80.28,30/step
203,6090,24785,30875,19.72,80.28,30/step
204,6120,24900,31020,19.73,80.27,30/step
205,6150,25015,31165,19.73,80.27,30/step
206,6180,25130,31310,19.74,80.26,30/step
207,6210,25245,31455,19.74,80.26,30/step
208,6240,25360,31600,19.75,80.25,30/step
209,6270,25475,31745,19.75,80.25,30/step
210,6300,25590,31890,19.76,80.24,30/step
211,6330,25705,32035,19.76,80.24,30/step
212,6360,25820,32180,19.76,80.24,30/step
213,6390,25935,32325,19.77,80.23,30/step
214,6420,26050,32470,19.77,80.23,30/step
215,6450,26165,32615,19.78,80.22,30/step
216,6480,26280,32760,19.78,80.22,30/step
217,6510,26395,32905,19.78,80.22,30/step
218,6540,26510,33050,19.79,80.21,30/step
219,6570,26625,33195,19.79,80.21,30/step
220,6600,26740,33340,19.80,80.20,30/step
221,6630,26855,33485,19.80,80.20,30/step
222,6660,26970,33630,19.80,80.20,30/step
223,6690,27085,33775,19.81,80.19,30/step
224,6720,27200,33920,19.81,80.19,30/step
225,6750,27315,34065,19.82,80.18,30/step
226,6780,27430,34210,19.82,80.18,30/step
227,6810,27545,34355,19.82,80.18,30/step
228,6840,27660,34500,19.83,80.17,30/step
229,6870,27775,34645,19.83,80.17,30/step
230,6900,27890,34790,19.83,80.17,30/step
231,6930,28005,34935,19.84,80.16,30/step
232,6960,28120,35080,19.84,80.16,30/step
233,6990,28235,35225,19.84,80.16,30/step
234,7020,28350,35370,19.85,80.15,30/step
235,7050,28465,35515,19.85,80.15,30/step
236,7080,28580,35660,19.85,80.15,30/step
237,7110,28695,35805,19.86,80.14,30/step
238,7140,28810,35950,19.86,80.14,30/step
239,7170,28925,36095,19.86,80.14,30/step
240,7200,29040,36240,19.87,80.13,30/step
241,7230,29340,36570,19.77,80.23,30/step
242,7260,29640,36900,19.67,80.33,30/step
243,7290,29940,37230,19.58,80.42,30/step
244,7320,30240,37560,19.49,80.51,30/step
245,7350,30540,37890,19.40,80.60,30/step
246,7380,30840,38220,19.31,80.69,30/step
247,7410,31140,38550,19.22,80.78,30/step
248,7440,31440,38880,19.14,80.86,30/step
249,7470,31740,39210,19.05,80.95,30/step
250,7500,32040,39540,18.97,81.03,30/step
251,7530,32340,39870,18.89,81.11,30/step
252,7560,32640,40200,18.81,81.19,30/step
253,7590,32940,40530,18.73,81.27,30/step
254,7620,33240,40860,18.65,81.35,30/step
255,40000,0,40000,100.00,0.00,40000
