Input,K,GY,LGY,Total,K_percent,GY_percent,LGY_percent
220,11000,26740,4400,42140,26.10,63.46,10.44
221,11050,26855,4420,42325,26.11,63.45,10.44
222,11100,26970,4440,42510,26.11,63.44,10.44
223,11150,27085,4460,42695,26.12,63.44,10.45
224,11200,27200,4480,42880,26.12,63.43,10.45
225,11250,27315,4500,43065,26.12,63.43,10.45
226,11300,27430,4520,43250,26.13,63.42,10.45
227,11350,27545,4540,43435,26.13,63.42,10.45
228,11400,27660,4560,43620,26.13,63.41,10.45
229,11450,27775,4580,43805,26.14,63.41,10.46
230,11500,27890,4600,43990,26.14,63.40,10.46
231,11550,28005,4620,44175,26.15,63.40,10.46
232,11600,28120,4640,44360,26.15,63.39,10.46
233,11650,28235,4660,44545,26.15,63.39,10.46
234,11700,28350,4680,44730,26.16,63.38,10.46
235,11750,28465,4700,44915,26.16,63.38,10.46
236,11800,28580,4720,45100,26.16,63.37,10.47
237,11850,28695,4740,45285,26.17,63.37,10.47
238,11900,28810,4760,45470,26.17,63.36,10.47
239,11950,28925,4780,45655,26.17,63.36,10.47
240,12000,29040,4800,45840,26.18,63.35,10.47
241,12050,29340,4820,46210,26.08,63.49,10.43
242,12100,29640,4840,46580,25.98,63.63,10.39
243,12150,29940,4860,46950,25.88,63.77,10.35
244,12200,30240,4880,47320,25.78,63.91,10.31
245,12250,30540,4900,47690,25.69,64.04,10.27
246,12300,30840,4920,48060,25.59,64.17,10.24
247,12350,31140,4940,48430,25.50,64.30,10.20
248,12400,31440,4960,48800,25.41,64.43,10.16
249,12450,31740,4980,49170,25.32,64.55,10.13
250,12500,32040,5000,49540,25.23,64.68,10.09
251,12550,32340,5020,49910,25.15,64.80,10.06
252,12600,32640,5040,50280,25.06,64.92,10.02
253,12650,32940,5060,50650,24.98,65.03,9.99
254,12700,33240,5080,51020,24.89,65.15,9.96
255,40000,0,0,40000,100.00,0.00,0.00
