input,v19_quad,v19_density,v21_quad,v21_density,quad_diff,density_diff
176,22427,0.6942,22427,0.6942,0,0.0000
177,22643,0.7009,22643,0.7009,0,0.0000
178,22859,0.7076,22859,0.7076,0,0.0000
179,23075,0.7142,23075,0.7142,0,0.0000
180,23290,0.7209,23290,0.7209,0,0.0000
181,23506,0.7276,23506,0.7276,0,0.0000
182,23722,0.7343,23722,0.7343,0,0.0000
183,23938,0.7410,23938,0.7410,0,0.0000
184,24154,0.7476,24154,0.7476,0,0.0000
185,24301,0.7522,24301,0.7522,0,0.0000
186,24448,0.7567,24448,0.7567,0,0.0000
187,24596,0.7613,24596,0.7613,0,0.0000
188,24743,0.7659,24743,0.7659,0,0.0000
189,24890,0.7704,24890,0.7704,0,0.0000
190,25038,0.7750,25038,0.7750,0,0.0000
191,25185,0.7796,25185,0.7796,0,0.0000
192,25332,0.7841,25332,0.7841,0,0.0000
193,25511,0.7896,25511,0.7896,0,0.0000
194,25690,0.7952,25690,0.7952,0,0.0000
195,25869,0.8007,25869,0.8007,0,0.0000
196,26048,0.8063,26048,0.8063,0,0.0000
197,26227,0.8118,26227,0.8118,0,0.0000
198,26406,0.8173,26406,0.8173,0,0.0000
199,26585,0.8229,26585,0.8229,0,0.0000
200,26764,0.8284,26764,0.8284,0,0.0000
201,26934,0.8337,26934,0.8337,0,0.0000
202,27104,0.8390,27104,0.8390,0,0.0000
203,27273,0.8442,27273,0.8442,0,0.0000
204,27443,0.8494,27443,0.8494,0,0.0000
205,27613,0.8547,27613,0.8547,0,0.0000
206,27782,0.8599,27782,0.8599,0,0.0000
207,27952,0.8652,27952,0.8652,0,0.0000
208,28122,0.8705,28122,0.8705,0,0.0000
209,28337,0.8771,28337,0.8771,0,0.0000
210,28551,0.8837,28551,0.8837,0,0.0000
211,28766,0.8904,28766,0.8904,0,0.0000
212,28980,0.8970,28980,0.8970,0,0.0000
213,29195,0.9037,29195,0.9037,0,0.0000
214,29410,0.9103,29410,0.9103,0,0.0000
215,29624,0.9170,29624,0.9170,0,0.0000
216,29839,0.9236,29839,0.9236,0,0.0000
217,30120,0.9323,30120,0.9323,0,0.0000
218,30400,0.9410,30400,0.9410,0,0.0000
219,30680,0.9496,30680,0.9496,0,0.0000
220,30961,0.9583,30961,0.9583,0,0.0000
221,31230,0.9667,31230,0.9667,0,0.0000
222,31499,0.9750,31499,0.9750,0,0.0000
223,31768,0.9833,31768,0.9833,0,0.0000
224,32037,0.9916,32037,0.9916,0,0.0000
225,32272,0.9989,32272,0.9989,0,0.0000
226,32508,1.0062,32508,1.0062,0,0.0000
227,32743,1.0135,32743,1.0135,0,0.0000
228,32979,1.0208,32979,1.0208,0,0.0000
229,33215,1.0281,33215,1.0281,0,0.0000
230,33450,1.0354,33450,1.0354,0,0.0000
231,33686,1.0427,33686,1.0427,0,0.0000
232,33922,1.0500,33922,1.0500,0,0.0000
233,34204,1.0587,34124,1.0562,-80,-0.0025
234,34487,1.0675,34326,1.0625,-161,-0.0050
235,34769,1.0762,34528,1.0687,-241,-0.0075
236,35052,1.0850,34730,1.0750,-322,-0.0100
237,35335,1.0937,34931,1.0812,-404,-0.0125
238,35617,1.1025,35133,1.0875,-484,-0.0150
239,35900,1.1112,35335,1.0937,-565,-0.0175
240,36183,1.1200,35537,1.1000,-646,-0.0200
241,36465,1.1287,35739,1.1062,-726,-0.0225
242,36748,1.1375,35941,1.1125,-807,-0.0250
243,37031,1.1462,36143,1.1187,-888,-0.0275
244,37314,1.1550,36345,1.1250,-969,-0.0300
245,37596,1.1637,36547,1.1312,-1049,-0.0325
246,37879,1.1725,36749,1.1375,-1130,-0.0350
247,38162,1.1812,36951,1.1437,-1211,-0.0375
248,38445,1.1900,37153,1.1500,-1292,-0.0400
249,38721,1.1985,37430,1.1586,-1291,-0.0400
250,38998,1.2071,37707,1.1671,-1291,-0.0400
251,39275,1.2157,37984,1.1757,-1291,-0.0400
252,39552,1.2243,38260,1.1843,-1292,-0.0400
253,39829,1.2328,38537,1.1928,-1292,-0.0400
254,40106,1.2414,38814,1.2014,-1292,-0.0400
255,40383,1.2500,39091,1.2100,-1292,-0.0400
