Input,K,GY,LGY,GY_percent,LGY_percent
123,15693,785,785,5.00,5.00
124,15830,792,792,5.00,5.00
125,15968,798,798,5.00,5.00
126,16105,805,805,5.00,5.00
127,16243,812,812,5.00,5.00
128,16380,819,819,5.00,5.00
129,16517,826,826,5.00,5.00
130,16655,833,833,5.00,5.00
131,16792,840,840,5.00,5.00
132,16930,846,846,5.00,5.00
133,17067,853,853,5.00,5.00
134,17205,860,860,5.00,5.00
135,17343,867,867,5.00,5.00
136,17480,874,874,5.00,5.00
137,17617,881,881,5.00,5.00
138,17755,888,888,5.00,5.00
139,17892,895,895,5.00,5.00
140,18030,902,902,5.00,5.00
141,18167,908,908,5.00,5.00
142,18305,915,915,5.00,5.00
143,18442,922,922,5.00,5.00
144,18580,929,929,5.00,5.00
145,18718,936,936,5.00,5.00
146,18855,943,943,5.00,5.00
147,18993,950,950,5.00,5.00
148,19130,956,956,5.00,5.00
149,19268,963,963,5.00,5.00
150,19405,970,970,5.00,5.00
151,19543,977,977,5.00,5.00
152,19680,984,984,5.00,5.00
153,19817,991,991,5.00,5.00
154,19955,998,998,5.00,5.00
155,20092,1005,1005,5.00,5.00
156,20230,1012,1012,5.00,5.00
157,20367,1018,1018,5.00,5.00
158,20505,1025,1025,5.00,5.00
159,20642,1032,1032,5.00,5.00
160,20780,1039,1039,5.00,5.00
161,20918,1046,1046,5.00,5.00
162,21055,1053,1053,5.00,5.00
163,21193,1060,1060,5.00,5.00
164,21330,1066,1066,5.00,5.00
165,21468,1073,1073,5.00,5.00
166,21605,1080,1080,5.00,5.00
167,21743,1087,1087,5.00,5.00
168,21880,1094,1094,5.00,5.00
169,22017,1101,1101,5.00,5.00
170,22155,1108,1108,5.00,5.00
171,22292,1115,1115,5.00,5.00
172,22430,1122,1122,5.00,5.00
173,22567,1128,1128,5.00,5.00
174,22705,1135,1135,5.00,5.00
175,22842,1142,1142,5.00,5.00
176,22980,1149,1149,5.00,5.00
177,23118,1156,1156,5.00,5.00
178,23255,1163,1163,5.00,5.00
179,23393,1170,1170,5.00,5.00
180,23531,1177,1177,5.00,5.00
181,23668,1183,1183,5.00,5.00
182,23806,1190,1190,5.00,5.00
183,23943,1197,1197,5.00,5.00
184,24080,1204,1204,5.00,5.00
185,24217,1211,1211,5.00,5.00
186,24353,1218,1218,5.00,5.00
187,24490,1224,1224,5.00,5.00
188,24627,1231,1231,5.00,5.00
189,24764,1238,1238,5.00,5.00
190,24902,1245,1245,5.00,5.00
191,25040,1252,1252,5.00,5.00
192,25180,1259,1259,5.00,5.00
193,25321,1266,1266,5.00,5.00
194,25462,1273,1273,5.00,5.00
195,25603,1280,1280,5.00,5.00
196,25743,1287,1287,5.00,5.00
197,25881,1294,1294,5.00,5.00
198,26017,1301,1301,5.00,5.00
199,26151,1308,1308,5.00,5.00
200,26280,1314,1314,5.00,5.00
201,26405,1320,1320,5.00,5.00
202,26526,1326,1326,5.00,5.00
203,26642,1332,1332,5.00,5.00
204,26755,1338,1338,5.00,5.00
205,26862,1343,1343,5.00,5.00
206,26966,1348,1348,5.00,5.00
207,27065,1353,1353,5.00,5.00
208,27160,1358,1358,5.00,5.00
209,27251,1363,1363,5.00,5.00
210,27338,1367,1367,5.00,5.00
211,27422,1371,1371,5.00,5.00
212,27504,1375,1375,5.00,5.00
213,27584,1379,1379,5.00,5.00
214,27663,1383,1383,5.00,5.00
215,27741,1387,1387,5.00,5.00
216,27820,1391,1391,5.00,5.00
217,27899,1395,1395,5.00,5.00
218,27979,1399,1399,5.00,5.00
219,28060,1403,1403,5.00,5.00
220,28142,1407,1407,5.00,5.00
221,28225,1411,1411,5.00,5.00
222,28309,1415,1415,5.00,5.00
223,28394,1420,1420,5.00,5.00
224,28480,1424,1424,5.00,5.00
225,28567,1428,1428,5.00,5.00
226,28655,1433,1433,5.00,5.00
227,28741,1437,1437,5.00,5.00
228,28827,1441,1441,5.00,5.00
229,28911,1446,1446,5.00,5.00
230,28991,1450,1450,5.00,5.00
231,29068,1453,1453,5.00,5.00
232,29140,1457,1457,5.00,5.00
233,29207,1460,1460,5.00,5.00
234,29269,1463,1463,5.00,5.00
235,29327,1466,1466,5.00,5.00
236,29382,1469,1469,5.00,5.00
237,29434,1472,1472,5.00,5.00
238,29484,1474,1474,5.00,5.00
239,29532,1477,1477,5.00,5.00
240,29580,1479,1479,5.00,5.00
241,29628,1481,1481,5.00,5.00
242,29676,1484,1484,5.00,5.00
243,29726,1486,1486,5.00,5.00
244,29778,1489,1489,5.00,5.00
245,29833,1492,1492,5.00,5.00
246,29891,1495,1495,5.00,5.00
247,29953,1498,1498,5.00,5.00
248,30020,1501,1501,5.00,5.00
249,30517,1526,1526,5.00,5.00
250,31014,1551,1551,5.00,5.00
251,31511,1576,1576,5.00,5.00
252,32009,1600,1600,5.00,5.00
253,32506,1625,1625,5.00,5.00
254,33003,1650,1650,5.00,5.00
255,40000,2000,2000,5.00,5.00
